Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","16:43:07","16:44:29",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","16:44:34","16:44:52",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","16:44:57","16:46:46",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","16:46:51","16:48:53",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","16:48:58","16:49:05",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","16:49:10","16:49:18",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #1","1","16:49:24","16:49:37",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Convoy","Convoy: Objective #2","1","16:49:42","16:51:01",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Convoy","Convoy: Objective #1","1","16:51:06","16:51:28",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bunker","Scav Bunker: Objective #1","2","16:51:33","16:52:28",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bunker","Scav Bunker: Objective #3","2","16:52:33","16:53:10",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"Scav Bunker","Scav Bunker: Objective #2","2","16:53:15","16:53:52",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","16:53:57","16:58:57",
Bot2,"7 TO 14 FERAL HOGS",impossible,3,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","16:59:02","17:05:26",
Bot1,"Massivesoft",impossible,7,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","16:43:07","16:44:46",
Bot1,"Massivesoft",impossible,7,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","16:44:51","16:48:28",
Bot5,"Mr_Pudlik",impossible,17,Failed,"Scav Town Sniping","Scav Town Sniping: Objective #3","1","16:43:09","16:54:31",
Bot5,"Mr_Pudlik",impossible,17,Completed,"Scav Town Sniping","Scav Town Sniping: Objective #1","2","16:43:24","16:47:17",
Bot5,"Mr_Pudlik",impossible,17,Failed,"Scav Town Sniping","Scav Town Sniping: Objective #2","2","16:47:22","16:54:31",
Bot6,"Fershte",impossible,5,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","16:43:10","16:53:05",
Bot7,"wara",impossible,5,Failed,"Scav Base","Scav Base: Objective #1","4","16:43:11","16:44:47",
