Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot321,"F1oridaMan",impossible,18,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","20:56:24","20:58:16",
Bot323,"DeadLeaves",impossible,18,Failed,"Big Red","Big Red: Objective #2","1","20:56:26","21:01:01",
Bot324,"jonkler",impossible,11,Completed,"Golden Swag","Zone extraction_zone_zibbo","2","20:56:27","21:02:32",
Bot324,"jonkler",impossible,11,Failed,"Golden Swag","Item Golden Zibbo lighter","1","21:02:38","21:02:41",
Bot325,"Arys",impossible,2,Archived,"Big Red","Big Red: Objective #2","1","20:56:28","20:57:10",
Bot325,"Arys",impossible,2,Archived,"Big Red","Big Red: Objective #3","1","20:57:15","20:57:32",
Bot325,"Arys",impossible,2,Archived,"Big Red","Big Red: Objective #5","1","20:57:37","20:57:51",
Bot325,"Arys",impossible,2,Archived,"Big Red","Big Red: Objective #4","1","20:57:56","20:59:56",
Bot325,"Arys",impossible,2,Archived,"Big Red","Big Red: Objective #1","1","21:00:01","21:00:27",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #2","1","21:00:32","21:04:00",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #1","1","21:04:05","21:04:15",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #3","1","21:04:21","21:04:37",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #4","1","21:04:42","21:05:03",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #5","1","21:05:08","21:05:53",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #6","1","21:05:59","21:06:33",
Bot325,"Arys",impossible,2,Completed,"Storage","Storage: Objective #7","1","21:06:38","21:06:57",
Bot325,"Arys",impossible,2,Failed,"Big Red","Big Red: Objective #1","1","21:07:02","21:08:21",
Bot326,"Stealthsuit",impossible,3,Failed,"Big Red","Big Red: Objective #2","1","20:56:29","21:01:11",
Bot336,"VIPkiller17",impossible,2,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","20:56:39","20:58:25",
Bot336,"VIPkiller17",impossible,2,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","20:58:30","21:09:37",
Bot337,"MemeG",impossible,28,Failed,"Informed Means Armed","Zone place_skier_11_2","2","20:56:40","21:12:27",
Bot338,"jbs4bmx",impossible,16,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","20:56:41","21:09:37",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","21:12:28","21:14:51",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","21:14:56","21:14:56",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","21:15:01","21:15:09",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","21:15:14","21:15:26",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:15:31","21:15:31",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #10","1","21:15:36","21:15:44",
Bot338,"jbs4bmx",impossible,16,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #3","1","21:15:46","21:16:08",
Bot339,"agavalda",impossible,21,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","20:56:42","21:15:09",
Bot339,"agavalda",impossible,21,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","21:15:15","21:19:35",
Bot345,"Rhyufer",impossible,20,Failed,"Golden Swag","Item Golden Zibbo lighter","1","21:01:26","21:03:54",
Bot346,"pplatinumssEU",impossible,25,Failed,"Chemical - Part 1","Zone bomj_place","1","21:01:27","21:01:52",
Bot347,"Waffle",impossible,11,Failed,"Chemical - Part 4","Zone gazel","1","21:01:27","21:02:02",
Bot347,"Waffle",impossible,11,Failed,"BP Depot","Zone fuel1","1","21:02:07","21:07:26",
Bot349,"CreamCheese",impossible,21,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","21:01:57","21:02:49",
Bot353,"RaiRaiTheRaichu",impossible,25,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","21:06:41","21:14:18",
Bot354,"!Komino Style!",impossible,15,Completed,"Shaking up the Teller","Item Bank case","1","21:06:42","21:19:36",
Bot354,"!Komino Style!",impossible,15,Completed,"Shaking up the Teller","Zone room214","1","21:19:41","21:21:09",
Bot354,"!Komino Style!",impossible,15,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #11","1","21:21:14","21:21:14",
Bot354,"!Komino Style!",impossible,15,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","21:21:19","21:21:22",
Bot354,"!Komino Style!",impossible,15,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","21:21:28","21:23:37",
Bot354,"!Komino Style!",impossible,15,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","21:23:42","21:35:18",
Bot355,"Clodan",impossible,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","21:07:34","21:07:50",
Bot355,"Clodan",impossible,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","21:07:55","21:09:42",
Bot360,"老人",impossible,39,Failed,"Bullshit","Item Flash drive with fake info","1","21:12:30","21:13:40",
Bot361,"Senko",impossible,5,Failed,"Fortress","Fortress: Objective #4","1","21:13:31","21:14:37",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #4","1","21:14:20","21:17:02",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #8","3","21:17:07","21:17:59",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #2","1","21:18:05","21:18:22",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #1","1","21:18:27","21:18:50",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #9","4","21:18:55","21:19:48",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #6","1","21:19:53","21:20:17",
Bot365,"Crackbone",impossible,21,Completed,"Fortress","Fortress: Objective #3","1","21:20:22","21:20:37",
Bot365,"Crackbone",impossible,21,Failed,"Fortress","Fortress: Objective #5","1","21:20:42","21:23:09",
Bot366,"Gatsu66",impossible,7,Failed,"Fortress Sniping","Fortress Sniping: Objective #4","1","21:14:21","21:23:30",
Bot367,"职业玩家",impossible,9,Failed,"Storage Building","Storage Building: Objective #2","1","21:14:47","21:14:50",
Bot367,"职业玩家",impossible,9,Failed,"Storage Building","Storage Building: Objective #1","1","21:14:55","21:15:11",
Bot367,"职业玩家",impossible,9,Failed,"Short Cut","Short Cut: Objective #1","1","21:15:16","21:15:29",
Bot367,"职业玩家",impossible,9,Failed,"Power Switch","Power Switch: Objective #1","1","21:15:34","21:15:45",
Bot367,"职业玩家",impossible,9,Failed,"Warehouse 4","Warehouse 4: Objective #3","1","21:15:46","21:15:52",
Bot367,"职业玩家",impossible,9,Failed,"Warehouse 4","Warehouse 4: Objective #2","1","21:15:57","21:16:27",
Bot367,"职业玩家",impossible,9,Failed,"Warehouse 4","Warehouse 4: Objective #1","1","21:16:32","21:16:47",
Bot367,"职业玩家",impossible,9,Failed,"Skeleton","Skeleton: Objective #1","1","21:16:52","21:17:05",
Bot369,"Pherik",impossible,12,Completed,"Old Gas","Old Gas: Objective #1","1","21:18:38","21:21:33",
Bot369,"Pherik",impossible,12,Completed,"Old Gas","Old Gas: Objective #2","1","21:21:38","21:21:45",
Bot369,"Pherik",impossible,12,Failed,"Short Cut","Short Cut: Objective #1","1","21:21:50","21:26:14",
Bot370,"Holynevil",impossible,36,Failed,"Power Switch","Power Switch: Objective #1","1","21:20:12","21:23:00",
Bot371,"crustyselenium_",impossible,17,Completed,"Power Switch","Power Switch: Objective #1","2","21:20:13","21:30:02",
Bot371,"crustyselenium_",impossible,17,Failed,"Short Cut","Short Cut: Objective #1","1","21:30:07","21:33:13",
Bot374,"T90Commander",impossible,24,Failed,"Crackhouse","Crackhouse: Objective #7","1","21:23:36","21:31:28",
Bot375,"R3",impossible,25,Failed,"Ice Cream","Ice Cream: Objective #1","1","21:23:36","21:25:48",
Bot376,"MissingInAction",impossible,8,Failed,"Power Switch","Power Switch: Objective #1","1","21:23:59","21:28:14",
Bot377,"T90Commander",impossible,2,Failed,"Fortress","Fortress: Objective #3","1","21:24:58","21:25:24",
