Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot121,"MrSarkasm",impossible,27,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","18:27:34","18:27:34",
Bot121,"MrSarkasm",impossible,27,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","18:27:39","18:29:28",
Bot122,"MemeG",impossible,19,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","18:27:35","18:28:00",
Bot123,"OkaMoez",impossible,4,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","18:27:36","18:29:11",
Bot124,"savid_dubs",impossible,10,Failed,"Delivery From the Past","Zone case_extraction","1","18:27:37","18:29:06",
Bot125,"Swankyorc",impossible,21,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","18:27:38","18:30:34",
Bot128,"3371",impossible,17,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","18:27:40","18:28:54",
Bot131,"SUPERBUBU3000",impossible,21,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","18:30:35","18:32:28",
Bot131,"SUPERBUBU3000",impossible,21,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","18:32:33","18:33:18",
Bot141,"Brin",impossible,18,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","18:33:55","18:34:31",
Bot142,"CheekiBreeki",impossible,20,Active,"Postman Pat - Part 1","Item Sealed letter","1","18:35:15","N/A",
Bot143,"KittehKun",impossible,2,Pending,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","18:35:15","N/A",
Bot148,"rozema",impossible,11,Active,"Sanitary Standards - Part 1","Zone pumproom","1","18:37:10","N/A",
